Date,current_season,Home,Away,Home_Score,Away_Score
1-Sep-18,1,Al-Ahli,Al Taawon,1,1
31-Aug-18,1,Al-Faisaly FC Harmah,Al Batin,2,2
30-Aug-18,1,Al-Hazm,Al Wahda,0,0
31-Aug-18,1,Al Hilal Riyadh,Al Feiha,1,0
30-Aug-18,1,AL Ettifaq FC,Al Raed,1,1
31-Aug-18,1,AL Qadisiyah FC (KSA),Al Fateh SC,0,0
31-Aug-18,1,Al Shabab,Al Ittihad,1,0
30-Aug-18,1,Ohod Saudi FC,Al Nassr,1,2
13-Sep-18,1,Al Fateh SC,Al Wahda,0,0
14-Sep-18,1,Al Feiha,Al Shabab,1,3
13-Sep-18,1,Al-Hazm,Al Taawon,1,1
13-Sep-18,1,AL Ettifaq FC,Al Batin,3,2
15-Sep-18,1,Al Ittihad,AL Qadisiyah FC (KSA),0,3
14-Sep-18,1,Al Nassr,Al-Faisaly FC Harmah,2,1
15-Sep-18,1,Al Raed,Al Hilal Riyadh,1,3
14-Sep-18,1,Ohod Saudi FC,Al-Ahli,0,2
21-Sep-18,1,Al-Ahli,Al-Hazm,2,0
21-Sep-18,1,Al-Faisaly FC Harmah,Ohod Saudi FC,2,0
20-Sep-18,1,Al Hilal Riyadh,Al Batin,3,1
21-Sep-18,1,AL Ettifaq FC,Al Feiha,3,0
19-Sep-18,1,AL Qadisiyah FC (KSA),Al Nassr,0,3
20-Sep-18,1,Al Shabab,Al Fateh SC,1,1
20-Sep-18,1,Al Taawon,Al Ittihad,5,3
22-Sep-18,1,Al Wahda,Al Raed,4,1
29-Sep-18,1,Al-Ahli,Al Batin,2,0
24-Sep-18,1,Al Fateh SC,Al Hilal Riyadh,2,3
28-Sep-18,1,Al Feiha,AL Qadisiyah FC (KSA),4,2
27-Sep-18,1,Al-Hazm,Al-Faisaly FC Harmah,2,1
27-Sep-18,1,AL Ettifaq FC,Ohod Saudi FC,0,0
26-Sep-18,1,Al Ittihad,Al Wahda,2,2
24-Sep-18,1,Al Nassr,Al Taawon,1,0
28-Sep-18,1,Al Raed,Al Shabab,1,1
5-Oct-18,1,Al-Ahli,Al-Faisaly FC Harmah,2,0
4-Oct-18,1,Al Fateh SC,Al Ittihad,2,0
4-Oct-18,1,Al Feiha,Al Raed,0,3
6-Nov-18,1,Al Hilal Riyadh,AL Ettifaq FC,4,1
5-Oct-18,1,Al Nassr,Al-Hazm,5,1
6-Oct-18,1,AL Qadisiyah FC (KSA),Al Wahda,0,1
5-Oct-18,1,Al Taawon,Al Shabab,1,1
5-Oct-18,1,Ohod Saudi FC,Al Batin,0,1
19-Oct-18,1,Al Batin,Al Nassr,0,2
19-Oct-18,1,Al-Faisaly FC Harmah,Al Taawon,1,4
18-Oct-18,1,Al-Hazm,AL Qadisiyah FC (KSA),2,1
20-Oct-18,1,AL Ettifaq FC,Al-Ahli,6,2
19-Oct-18,1,Al Ittihad,Ohod Saudi FC,1,1
19-Oct-18,1,Al Raed,Al Fateh SC,0,3
20-Oct-18,1,Al Shabab,Al Hilal Riyadh,0,1
18-Oct-18,1,Al Wahda,Al Feiha,2,1
25-Oct-18,1,Al-Ahli,Al Fateh SC,5,1
26-Oct-18,1,Al Batin,Al Taawon,0,5
24-Oct-18,1,Al-Faisaly FC Harmah,Al Raed,2,0
26-Oct-18,1,Al Feiha,Al Nassr,1,1
25-Oct-18,1,Al Hilal Riyadh,Al Ittihad,3,1
25-Oct-18,1,AL Ettifaq FC,Al-Hazm,1,0
26-Oct-18,1,Al Shabab,AL Qadisiyah FC (KSA),2,1
26-Oct-18,1,Ohod Saudi FC,Al Wahda,1,3
1-Nov-18,1,Al Batin,Al-Hazm,1,0
1-Nov-18,1,Al-Faisaly FC Harmah,AL Ettifaq FC,5,1
1-Nov-18,1,Al Fateh SC,Al Feiha,1,2
1-Nov-18,1,Al Ittihad,Al Raed,1,2
3-Nov-18,1,Al Nassr,Al-Ahli,0,2
2-Nov-18,1,AL Qadisiyah FC (KSA),Al Hilal Riyadh,0,2
1-Nov-18,1,Al Wahda,Al Shabab,0,1
2-Nov-18,1,Ohod Saudi FC,Al Taawon,1,0
8-Nov-18,1,Al Batin,Al Fateh SC,2,2
9-Nov-18,1,Al-Ahli,AL Qadisiyah FC (KSA),0,2
8-Nov-18,1,Al-Faisaly FC Harmah,Al Shabab,0,0
10-Nov-18,1,Al Feiha,Al Ittihad,2,1
11-Nov-18,1,AL Ettifaq FC,Al Nassr,1,2
25-Dec-18,1,Al Raed,Al Taawon,2,1
11-Nov-18,1,Al Wahda,Al Hilal Riyadh,0,3
8-Nov-18,1,Ohod Saudi FC,Al-Hazm,3,3
24-Nov-18,1,Al-Faisaly FC Harmah,Al Hilal Riyadh,1,1
22-Nov-18,1,Al Fateh SC,Ohod Saudi FC,4,0
22-Nov-18,1,Al Feiha,Al-Hazm,1,1
24-Nov-18,1,AL Ettifaq FC,Al Taawon,2,4
25-Nov-18,1,Al Ittihad,Al-Ahli,1,3
23-Nov-18,1,Al Nassr,Al Shabab,1,0
23-Nov-18,1,AL Qadisiyah FC (KSA),Al Raed,3,1
22-Nov-18,1,Al Wahda,Al Batin,1,0
30-Nov-18,1,Al-Ahli,Al Feiha,1,1
1-Dec-18,1,Al Batin,Al Raed,1,3
1-Dec-18,1,Al Fateh SC,Al Taawon,0,2
2-Dec-18,1,Al Ittihad,Al-Hazm,2,2
2-Dec-18,1,Al Nassr,Al Wahda,1,2
30-Nov-18,1,AL Qadisiyah FC (KSA),Al-Faisaly FC Harmah,1,1
29-Nov-18,1,Al Shabab,AL Ettifaq FC,2,2
12-Dec-18,1,Ohod Saudi FC,Al Hilal Riyadh,0,1
6-Dec-18,1,Al Batin,Al Feiha,1,0
8-Dec-18,1,Al Fateh SC,Al-Hazm,3,2
8-Dec-18,1,Al Hilal Riyadh,Al Nassr,2,2
6-Dec-18,1,Al Ittihad,Al-Faisaly FC Harmah,1,2
6-Dec-18,1,AL Qadisiyah FC (KSA),AL Ettifaq FC,2,0
8-Dec-18,1,Al Raed,Al-Ahli,0,0
6-Dec-18,1,Al Shabab,Ohod Saudi FC,1,0
7-Dec-18,1,Al Wahda,Al Taawon,0,1
14-Dec-18,1,Al Batin,Al Ittihad,1,3
15-Dec-18,1,Al-Ahli,Al Shabab,0,1
13-Dec-18,1,Al Fateh SC,Al-Faisaly FC Harmah,1,1
15-Dec-18,1,Al Hilal Riyadh,Al-Hazm,1,2
13-Dec-18,1,AL Ettifaq FC,Al Wahda,2,1
