Team,team_id,team_name
Al Ittihad,1316,Al-Ittihad
Al Hilal Riyadh,1317,Al-Hilal
AL Ettifaq FC,5680,Al-Ittifaq
Al-Ahli,6770,Al-Ahli
Al Fateh SC,6772,Al-Fateh
Al Raed,6773,Al-Raed
Al Shabab,6774,Al-Shabab
AL Qadisiyah FC (KSA),6775,Al-Quadisiya
Al-Faisaly FC Harmah,6777,Al-Faisaly
Al Taawon,6778,Al-Taawon
Al Nassr,6780,Al-Nassr
Al-Hazm,6846,Al-Hazm
Al Wahda,6847,Al-Wahda
Al Batin,9623,Al-Baten
Ohod Saudi FC,9624,Ohod
Al Feiha,10483,Al-Feiha
Al Nahdha Dammam,99991,Al Nahdha
Al-Khaleej Club,99991,Al-Khaleej
Al-Orobah FC,99991,Al-Orobah
Al-Shoalah,99991,Al-Shoalah
Hajer,99991,Hajer
Najran SC,99991,Najran
